,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2530,pompeii,['Glassjaw'],0.332,0.995,9,-3.977,1,0.243,1.5e-05,0.528,0.534,0.0384,148.083,audio_features,5gChDjALaaw6x3W1NUsPo1,spotify:track:5gChDjALaaw6x3W1NUsPo1,https://api.spotify.com/v1/tracks/5gChDjALaaw6x3W1NUsPo1,https://api.spotify.com/v1/audio-analysis/5gChDjALaaw6x3W1NUsPo1,229627,3
2531,bibleland 6,['Glassjaw'],0.341,0.993,9,-3.048,1,0.143,6.25e-05,0.0552,0.346,0.0383,140.1,audio_features,3WPZDwLiA7L5S95JN3I6BN,spotify:track:3WPZDwLiA7L5S95JN3I6BN,https://api.spotify.com/v1/tracks/3WPZDwLiA7L5S95JN3I6BN,https://api.spotify.com/v1/audio-analysis/3WPZDwLiA7L5S95JN3I6BN,210520,3
2532,Day 'N' Nite (nightmare),['Kid Cudi'],0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996,audio_features,5FEXPoPnzueFJQCPRIrC3c,spotify:track:5FEXPoPnzueFJQCPRIrC3c,https://api.spotify.com/v1/tracks/5FEXPoPnzueFJQCPRIrC3c,https://api.spotify.com/v1/audio-analysis/5FEXPoPnzueFJQCPRIrC3c,221267,4
2533,Pursuit Of Happiness (Nightmare),"['Kid Cudi', 'MGMT', 'Ratatat']",0.63,0.605,0,-8.951,1,0.0414,0.484,9.29e-05,0.298,0.266,115.277,audio_features,5iSEsR6NKjlC9SrIJkyL3k,spotify:track:5iSEsR6NKjlC9SrIJkyL3k,https://api.spotify.com/v1/tracks/5iSEsR6NKjlC9SrIJkyL3k,https://api.spotify.com/v1/audio-analysis/5iSEsR6NKjlC9SrIJkyL3k,295293,4
2534,Soundtrack 2 My Life,['Kid Cudi'],0.464,0.754,9,-6.653,0,0.128,0.465,1.57e-05,0.37,0.444,86.501,audio_features,1cdC9TCqyLwAlsw3fVJaJS,spotify:track:1cdC9TCqyLwAlsw3fVJaJS,https://api.spotify.com/v1/tracks/1cdC9TCqyLwAlsw3fVJaJS,https://api.spotify.com/v1/audio-analysis/1cdC9TCqyLwAlsw3fVJaJS,235627,4
2535,Day 'N' Nite (nightmare),['Kid Cudi'],0.881,0.441,11,-6.278,0,0.0646,0.48,9.08e-06,0.119,0.804,138.014,audio_features,5wfllwdjglyQislkskYLBv,spotify:track:5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/tracks/5wfllwdjglyQislkskYLBv,https://api.spotify.com/v1/audio-analysis/5wfllwdjglyQislkskYLBv,221240,4
2536,Pursuit Of Happiness (Nightmare),"['Kid Cudi', 'MGMT', 'Ratatat']",0.63,0.605,0,-8.951,1,0.0414,0.484,9.29e-05,0.298,0.266,115.277,audio_features,6MtKObWYda2qnNIpJI21uD,spotify:track:6MtKObWYda2qnNIpJI21uD,https://api.spotify.com/v1/tracks/6MtKObWYda2qnNIpJI21uD,https://api.spotify.com/v1/audio-analysis/6MtKObWYda2qnNIpJI21uD,295293,4
2537,Man On The Moon,['Kid Cudi'],0.649,0.659,0,-8.924,1,0.066,0.638,2.71e-05,0.359,0.497,90.991,audio_features,78T9DulqSBWqkaxczcGBfk,spotify:track:78T9DulqSBWqkaxczcGBfk,https://api.spotify.com/v1/tracks/78T9DulqSBWqkaxczcGBfk,https://api.spotify.com/v1/audio-analysis/78T9DulqSBWqkaxczcGBfk,210893,4
2538,Up Up & Away,['Kid Cudi'],0.66,0.881,10,-6.119,0,0.0849,0.0722,3.4e-05,0.362,0.586,120.017,audio_features,1RUTIdTnFs8lHSc0Zr4UJB,spotify:track:1RUTIdTnFs8lHSc0Zr4UJB,https://api.spotify.com/v1/tracks/1RUTIdTnFs8lHSc0Zr4UJB,https://api.spotify.com/v1/audio-analysis/1RUTIdTnFs8lHSc0Zr4UJB,227347,4
2539,Soundtrack 2 My Life,['Kid Cudi'],0.464,0.754,9,-6.653,0,0.128,0.465,1.57e-05,0.37,0.444,86.501,audio_features,0rFpcfF0YfvFUYsl99Bw9d,spotify:track:0rFpcfF0YfvFUYsl99Bw9d,https://api.spotify.com/v1/tracks/0rFpcfF0YfvFUYsl99Bw9d,https://api.spotify.com/v1/audio-analysis/0rFpcfF0YfvFUYsl99Bw9d,235627,4
2540,Cudi Zone,['Kid Cudi'],0.706,0.691,9,-5.86,0,0.0338,0.546,1.3e-06,0.366,0.597,134.751,audio_features,03MWa1FMygR3RrQoQytsjS,spotify:track:03MWa1FMygR3RrQoQytsjS,https://api.spotify.com/v1/tracks/03MWa1FMygR3RrQoQytsjS,https://api.spotify.com/v1/audio-analysis/03MWa1FMygR3RrQoQytsjS,259040,4
2541,Make Her Say,"['Kid Cudi', 'Kanye West', 'Common']",0.93,0.712,10,-5.156,0,0.0666,0.245,1.48e-05,0.116,0.456,99.054,audio_features,7dZAPeA3Of5j5Vaef0DQ6M,spotify:track:7dZAPeA3Of5j5Vaef0DQ6M,https://api.spotify.com/v1/tracks/7dZAPeA3Of5j5Vaef0DQ6M,https://api.spotify.com/v1/audio-analysis/7dZAPeA3Of5j5Vaef0DQ6M,216413,4
2542,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,audio_features,5PX4uS1LqlWEPL69phPVQQ,spotify:track:5PX4uS1LqlWEPL69phPVQQ,https://api.spotify.com/v1/tracks/5PX4uS1LqlWEPL69phPVQQ,https://api.spotify.com/v1/audio-analysis/5PX4uS1LqlWEPL69phPVQQ,373627,4
2543,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,3sYFMNaeHtJACx3tlBJyVu,spotify:track:3sYFMNaeHtJACx3tlBJyVu,https://api.spotify.com/v1/tracks/3sYFMNaeHtJACx3tlBJyVu,https://api.spotify.com/v1/audio-analysis/3sYFMNaeHtJACx3tlBJyVu,373627,4
2544,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,37YGUVhAmbttrU6VW8OK09,spotify:track:37YGUVhAmbttrU6VW8OK09,https://api.spotify.com/v1/tracks/37YGUVhAmbttrU6VW8OK09,https://api.spotify.com/v1/audio-analysis/37YGUVhAmbttrU6VW8OK09,373627,4
2545,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,audio_features,6LENIJrXpTM32hnd3IJ8b1,spotify:track:6LENIJrXpTM32hnd3IJ8b1,https://api.spotify.com/v1/tracks/6LENIJrXpTM32hnd3IJ8b1,https://api.spotify.com/v1/audio-analysis/6LENIJrXpTM32hnd3IJ8b1,373627,4
2546,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,4XgsVAYY14XtzhmyCTYMqf,spotify:track:4XgsVAYY14XtzhmyCTYMqf,https://api.spotify.com/v1/tracks/4XgsVAYY14XtzhmyCTYMqf,https://api.spotify.com/v1/audio-analysis/4XgsVAYY14XtzhmyCTYMqf,373547,4
2547,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.722,0.687,0,-5.189,1,0.0556,0.00949,0.00413,0.0462,0.619,128.013,audio_features,7yHeQlmD9AXxVS9d29dU39,spotify:track:7yHeQlmD9AXxVS9d29dU39,https://api.spotify.com/v1/tracks/7yHeQlmD9AXxVS9d29dU39,https://api.spotify.com/v1/audio-analysis/7yHeQlmD9AXxVS9d29dU39,373547,4
2548,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,56fmyw26sr2W5BfqbvtNmi,spotify:track:56fmyw26sr2W5BfqbvtNmi,https://api.spotify.com/v1/tracks/56fmyw26sr2W5BfqbvtNmi,https://api.spotify.com/v1/audio-analysis/56fmyw26sr2W5BfqbvtNmi,373547,4
2549,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,40Am1rFNXLXZX0ctKpXsRu,spotify:track:40Am1rFNXLXZX0ctKpXsRu,https://api.spotify.com/v1/tracks/40Am1rFNXLXZX0ctKpXsRu,https://api.spotify.com/v1/audio-analysis/40Am1rFNXLXZX0ctKpXsRu,373547,4
2550,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat', 'Steve Aoki']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,6cvRKvrlCbRXfmFLgjiPpS,spotify:track:6cvRKvrlCbRXfmFLgjiPpS,https://api.spotify.com/v1/tracks/6cvRKvrlCbRXfmFLgjiPpS,https://api.spotify.com/v1/audio-analysis/6cvRKvrlCbRXfmFLgjiPpS,373547,4
2551,Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),"['Kid Cudi', 'MGMT', 'Ratatat']",0.721,0.687,0,-5.189,1,0.0554,0.00957,0.0041,0.0462,0.619,128.013,audio_features,2npy8DZVXxA46GKrBC3J0G,spotify:track:2npy8DZVXxA46GKrBC3J0G,https://api.spotify.com/v1/tracks/2npy8DZVXxA46GKrBC3J0G,https://api.spotify.com/v1/audio-analysis/2npy8DZVXxA46GKrBC3J0G,373627,4
2552,Nobody's Love (feat. Popcaan) - Remix,"['Maroon 5', 'Popcaan']",0.331,0.564,1,-6.274,1,0.0719,0.282,0.0,0.0902,0.14,81.543,audio_features,06ylybDHRyv6wEpjBc9TKn,spotify:track:06ylybDHRyv6wEpjBc9TKn,https://api.spotify.com/v1/tracks/06ylybDHRyv6wEpjBc9TKn,https://api.spotify.com/v1/audio-analysis/06ylybDHRyv6wEpjBc9TKn,211254,1
