,SONG,ARTIST,AUDIO FEATURE
30,Dear Future Self (Hands Up),"['Fall Out Boy', 'Wyclef Jean']","[{'danceability': 0.535, 'energy': 0.925, 'key': 7, 'loudness': -3.012, 'mode': 1, 'speechiness': 0.239, 'acousticness': 0.0032, 'instrumentalness': 0.000359, 'liveness': 0.0316, 'valence': 0.949, 'tempo': 169.901, 'type': 'audio_features', 'id': '1tm4Bl2E5RwTevOiBs4gtH', 'uri': 'spotify:track:1tm4Bl2E5RwTevOiBs4gtH', 'track_href': 'https://api.spotify.com/v1/tracks/1tm4Bl2E5RwTevOiBs4gtH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1tm4Bl2E5RwTevOiBs4gtH', 'duration_ms': 170040, 'time_signature': 4}]"
31,Bob Dylan,['Fall Out Boy'],"[{'danceability': 0.494, 'energy': 0.915, 'key': 9, 'loudness': -3.623, 'mode': 1, 'speechiness': 0.0484, 'acousticness': 0.000353, 'instrumentalness': 0.0491, 'liveness': 0.352, 'valence': 0.522, 'tempo': 100.08, 'type': 'audio_features', 'id': '3liDoBAc3NGI8tmWUTOAed', 'uri': 'spotify:track:3liDoBAc3NGI8tmWUTOAed', 'track_href': 'https://api.spotify.com/v1/tracks/3liDoBAc3NGI8tmWUTOAed', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3liDoBAc3NGI8tmWUTOAed', 'duration_ms': 193040, 'time_signature': 4}]"
32,Bob Dylan,['Fall Out Boy'],"[{'danceability': 0.492, 'energy': 0.911, 'key': 9, 'loudness': -3.618, 'mode': 1, 'speechiness': 0.0425, 'acousticness': 0.000394, 'instrumentalness': 0.0558, 'liveness': 0.349, 'valence': 0.57, 'tempo': 100.083, 'type': 'audio_features', 'id': '09bH2kOPOfgYRB9IxDh9iw', 'uri': 'spotify:track:09bH2kOPOfgYRB9IxDh9iw', 'track_href': 'https://api.spotify.com/v1/tracks/09bH2kOPOfgYRB9IxDh9iw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/09bH2kOPOfgYRB9IxDh9iw', 'duration_ms': 193027, 'time_signature': 4}]"
33,My Songs Know What You Did In The Dark (Light Em Up),['Fall Out Boy'],"[{'danceability': 0.556, 'energy': 0.924, 'key': 9, 'loudness': -4.331, 'mode': 0, 'speechiness': 0.0635, 'acousticness': 0.028, 'instrumentalness': 3.8e-06, 'liveness': 0.37, 'valence': 0.56, 'tempo': 151.995, 'type': 'audio_features', 'id': '1rKRVRXykfmOga4BM9h53E', 'uri': 'spotify:track:1rKRVRXykfmOga4BM9h53E', 'track_href': 'https://api.spotify.com/v1/tracks/1rKRVRXykfmOga4BM9h53E', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rKRVRXykfmOga4BM9h53E', 'duration_ms': 187680, 'time_signature': 4}]"
34,The Phoenix,['Fall Out Boy'],"[{'danceability': 0.564, 'energy': 0.956, 'key': 4, 'loudness': -3.498, 'mode': 0, 'speechiness': 0.074, 'acousticness': 0.000464, 'instrumentalness': 0, 'liveness': 0.392, 'valence': 0.39, 'tempo': 138.078, 'type': 'audio_features', 'id': '4ozPOpuCucEvKQp9pVjUDx', 'uri': 'spotify:track:4ozPOpuCucEvKQp9pVjUDx', 'track_href': 'https://api.spotify.com/v1/tracks/4ozPOpuCucEvKQp9pVjUDx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ozPOpuCucEvKQp9pVjUDx', 'duration_ms': 246240, 'time_signature': 4}]"
35,Alone Together,['Fall Out Boy'],"[{'danceability': 0.551, 'energy': 0.91, 'key': 9, 'loudness': -3.792, 'mode': 1, 'speechiness': 0.0543, 'acousticness': 0.00131, 'instrumentalness': 2.27e-05, 'liveness': 0.176, 'valence': 0.662, 'tempo': 90.019, 'type': 'audio_features', 'id': '1XqiB54KW2wHvPDSjVYWSB', 'uri': 'spotify:track:1XqiB54KW2wHvPDSjVYWSB', 'track_href': 'https://api.spotify.com/v1/tracks/1XqiB54KW2wHvPDSjVYWSB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1XqiB54KW2wHvPDSjVYWSB', 'duration_ms': 204640, 'time_signature': 4}]"
36,The Last Of The Real Ones,['Fall Out Boy'],"[{'danceability': 0.573, 'energy': 0.871, 'key': 8, 'loudness': -5.264, 'mode': 1, 'speechiness': 0.0503, 'acousticness': 0.00552, 'instrumentalness': 0, 'liveness': 0.117, 'valence': 0.583, 'tempo': 115.085, 'type': 'audio_features', 'id': '2GAPteUTKLdb2B8FM6U39l', 'uri': 'spotify:track:2GAPteUTKLdb2B8FM6U39l', 'track_href': 'https://api.spotify.com/v1/tracks/2GAPteUTKLdb2B8FM6U39l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2GAPteUTKLdb2B8FM6U39l', 'duration_ms': 232280, 'time_signature': 4}]"
37,Immortals,['Fall Out Boy'],"[{'danceability': 0.62, 'energy': 0.874, 'key': 2, 'loudness': -3.604, 'mode': 1, 'speechiness': 0.0696, 'acousticness': 0.00123, 'instrumentalness': 1.23e-06, 'liveness': 0.751, 'valence': 0.478, 'tempo': 108.006, 'type': 'audio_features', 'id': '3nOMB2LHRIZOVfgUr0A4cJ', 'uri': 'spotify:track:3nOMB2LHRIZOVfgUr0A4cJ', 'track_href': 'https://api.spotify.com/v1/tracks/3nOMB2LHRIZOVfgUr0A4cJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3nOMB2LHRIZOVfgUr0A4cJ', 'duration_ms': 188493, 'time_signature': 4}]"
38,Young Volcanoes,['Fall Out Boy'],"[{'danceability': 0.597, 'energy': 0.856, 'key': 11, 'loudness': -3.9, 'mode': 0, 'speechiness': 0.0415, 'acousticness': 0.00146, 'instrumentalness': 0.00027, 'liveness': 0.364, 'valence': 0.673, 'tempo': 95.058, 'type': 'audio_features', 'id': '423RD3Z3e5fSlL6wNINvmS', 'uri': 'spotify:track:423RD3Z3e5fSlL6wNINvmS', 'track_href': 'https://api.spotify.com/v1/tracks/423RD3Z3e5fSlL6wNINvmS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/423RD3Z3e5fSlL6wNINvmS', 'duration_ms': 205133, 'time_signature': 4}]"
39,Uma Thurman,['Fall Out Boy'],"[{'danceability': 0.627, 'energy': 0.941, 'key': 4, 'loudness': -2.961, 'mode': 0, 'speechiness': 0.0535, 'acousticness': 0.123, 'instrumentalness': 8.64e-05, 'liveness': 0.149, 'valence': 0.841, 'tempo': 149.957, 'type': 'audio_features', 'id': '0KpuroGrGdzkSVFXQK510i', 'uri': 'spotify:track:0KpuroGrGdzkSVFXQK510i', 'track_href': 'https://api.spotify.com/v1/tracks/0KpuroGrGdzkSVFXQK510i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0KpuroGrGdzkSVFXQK510i', 'duration_ms': 213613, 'time_signature': 4}]"
